day,month,year,reef,sst,bst,current_dir_to,current_dir_from,current_deg,current_speed,swell,vis,divers,shark_id,rest_frames,rest_seconds,tot_sharks,sharks_in_uvc,maxn,frames,camera_time,maxn_divers
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.01,2,60,1,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.02,4,120,3,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.03,1,30,1,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.04,2,60,1,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.05,3,90,1,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.06,1,30,1,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.07,1,30,1,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.08,2,60,2,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.09,3,90,1,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.10,2,60,1,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.11,3,90,3,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.12,1,30,1,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.13,1,30,1,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.14,1,30,1,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.15,3,90,3,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.16,3,90,1,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.17,2,60,2,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.18,1,30,1,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.19,3,90,1,12,3,1300,650,10
20,12,2020,QM,25.5,24.5,TILT,TILT,NA,0.6,1.4,15,Y,QM.20.12.2020.20,4,120,1,12,3,1300,650,10
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.01,1,30,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.02,1,30,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.03,1,30,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.04,2,60,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.05,2,60,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.06,2,60,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.07,1,30,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.08,2,60,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.09,4,120,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.10,1,30,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.11,1,30,2,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.12,1,30,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.13,1,30,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.14,1,30,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.15,2,60,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.16,2,60,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.17,1,30,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.18,1,30,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.19,1,30,1,12,5,1737,868.5,15
21,12,2020,QM,25.6,24,TILT,TILT,NA,0.555,1.4,15,Y,QM.21.12.2020.20,2,60,1,12,5,1737,868.5,15
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.01,1,30,1,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.02,1,30,1,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.03,1,30,1,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.04,1,30,1,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.05,2,60,1,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.06,2,60,1,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.07,1,30,1,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.08,1,30,1,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.09,2,60,2,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.10,2,60,2,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.11,2,60,2,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.12,1,30,2,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.13,1,30,1,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.14,1,30,1,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.15,1,30,1,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.16,2,60,3,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.17,1,30,3,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.18,2,60,2,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.19,3,90,2,12,3,1723,861.5,2
22,12,2020,QM,24.8,23,TILT,TILT,NA,0.74,1.3,15,Y,QM.22.12.2020.20,1,30,1,12,3,1723,861.5,2
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.01,5,150,2,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.02,2,60,1,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.03,10,300,3,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.04,4,120,1,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.05,8,240,2,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.06,1,30,1,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.07,2,60,2,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.08,2,60,1,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.09,2,60,1,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.10,7,210,1,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.11,7,210,2,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.12,1,30,1,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.13,2,60,4,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.14,1,30,2,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.15,5,150,1,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.16,1,30,1,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.17,1,30,2,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.18,7,210,4,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.19,4,120,4,15,7,1729,864.5,0
24,12,2020,QM,26,26,TILT,TILT,NA,0.6,1.8,15,N,QM.24.12.2020.20,13,390,2,15,7,1729,864.5,0
29,12,2020,QM,26,26.2,TILT,TILT,NA,0.6,1.4,15,N,QM.29.12.2020.01,2,60,2,28,11,1743,871.5,0
29,12,2020,QM,26,26.2,TILT,TILT,NA,0.6,1.4,15,N,QM.29.12.2020.02,3,90,4,28,11,1743,871.5,0
29,12,2020,QM,26,26.2,TILT,TILT,NA,0.6,1.4,15,N,QM.29.12.2020.03,8,240,4,28,11,1743,871.5,0
29,12,2020,QM,26,26.2,TILT,TILT,NA,0.6,1.4,15,N,QM.29.12.2020.04,10,300,2,28,11,1743,871.5,0
29,12,2020,QM,26,26.2,TILT,TILT,NA,0.6,1.4,15,N,QM.29.12.2020.05,8,240,2,28,11,1743,871.5,0
