time,sharks,divers,,,
1,18,0,,,
2,17,0,,,
3,18,0,,,
4,21,0,,,
5,26,0,,,
6,21,0,,,
7,17,0,,,
8,18,0,,,
9,17,0,,,
10,12,0,,,
11,15,0,,,
12,16,0,,,
13,21,0,,,
14,19,0,,,
15,24,0,,,
16,16,0,,,
17,16,0,,,
18,14,0,,,
19,24,0,,,
20,16,0,,,
21,13,0,,,
22,18,0,,,
23,22,0,,,
24,21,0,,,
25,21,0,,,
26,28,0,,,
27,26,0,,,
28,21,0,,,
29,16,0,,,
30,24,0,,,
31,25,0,,,
32,22,0,,,
33,20,0,,,
34,15,0,,,
35,15,0,,,
36,15,0,,,
37,22,0,,,
38,12,0,,,
39,11,0,,,
40,11,0,,,
41,15,0,,,
42,16,0,,,
43,16,0,,,
44,20,0,,,
45,17,0,,,
46,10,0,,,
47,9,0,,,
48,11,0,,,
49,13,0,,,
50,18,0,,,
51,8,0,,,
52,14,0,,,
53,16,0,,,
54,18,0,,,
55,16,0,,,
56,21,0,,,
57,14,0,,,
58,12,0,,,
59,10,0,,,
60,9,0,,,
61,6,0,,,
62,0,0,,,
63,0,0,,,
64,3,0,,,
65,3,0,,,
66,5,0,,,
67,5,0,,,
68,6,0,,,
69,2,0,,,
70,0,0,,,
71,1,0,,,
72,1,0,,,
73,1,0,,,
74,3,0,,,
75,3,0,,,
76,6,0,,,
77,3,0,,,
78,8,0,,,
79,4,0,,,
80,8,0,,,
81,7,0,,,
82,7,0,,,
83,4,0,,,
84,6,0,,,
85,14,0,,,
86,16,0,,,
87,19,0,,,
88,10,0,,,
89,6,0,,,
90,6,0,,,
91,5,0,,,
92,8,0,,,
93,14,0,,,
94,22,0,,,
95,20,0,,,
96,19,0,,,
97,17,0,,,
98,9,0,,,
99,8,0,,,
100,9,0,,,
101,15,0,,,
102,22,0,,,
103,13,0,,,
104,14,0,,,
105,16,0,,,
106,11,0,,,
107,3,0,,,
108,5,0,,,
109,7,0,,,
110,8,0,,,
111,6,0,,,
112,6,0,,,
113,9,0,,,
114,16,0,,,
115,15,0,,,
116,7,0,,,
117,11,0,,,
118,11,0,,,
119,23,0,,,
120,20,0,,,
121,22,0,,,
122,25,0,,,
123,23,0,,,
124,26,0,,,
125,16,0,,,
126,7,0,,,
127,5,0,,,
128,6,0,,,
129,4,0,,,
130,3,0,,,
131,8,0,,,
132,4,0,,,
133,9,0,,,
134,11,0,,,
135,10,0,,,
136,13,0,,,
137,15,0,,,
138,15,0,,,
139,14,0,,,
140,15,0,,,
141,16,0,,,
142,20,0,,,
143,14,0,,,
144,17,0,,,
145,8,0,,,
146,4,0,,,
147,3,0,,,
