day,month,year,reef,sharks
9,10,2022,QM,2
10,10,2022,QM,1
18,10,2022,QM,0
19,10,2022,QM,0
27,10,2022,QM,0
28,10,2022,QM,0
3,11,2022,QM,0
4,11,2022,QM,0
5,11,2022,QM,0
6,11,2022,QM,0
7,11,2022,QM,0
9,11,2022,QM,0
10,11,2022,QM,0
11,11,2022,QM,0
21,11,2022,QM,0
22,11,2022,QM,0
26,11,2022,QM,1
27,11,2022,QM,0
28,11,2022,QM,0
29,11,2022,QM,0
1,12,2022,QM,0
7,12,2022,QM,0
13,12,2022,QM,0
14,12,2022,QM,0
15,12,2022,QM,0
16,12,2022,QM,0
21,12,2022,QM,0
22,12,2022,QM,0
24,12,2022,QM,1
25,12,2022,QM,0
26,12,2022,QM,6
27,12,2022,QM,4
3,1,2023,QM,2
4,1,2023,QM,5
5,1,2023,QM,10
6,1,2023,QM,8
8,1,2023,QM,0
9,1,2023,QM,2
10,1,2023,QM,2
11,1,2023,QM,5
12,1,2023,QM,10
13,1,2023,QM,7
14,1,2023,QM,14
15,1,2023,QM,2
16,1,2023,QM,7
17,1,2023,QM,7
18,1,2023,QM,22
19,1,2023,QM,29
20,1,2023,QM,19
22,1,2023,QM,15
23,1,2023,QM,7
24,1,2023,QM,29
25,1,2023,QM,37
26,1,2023,QM,24
27,1,2023,QM,15
28,1,2023,QM,17
29,1,2023,QM,6
30,1,2023,QM,5
31,1,2023,QM,7
1,2,2023,QM,8
2,2,2023,QM,13
3,2,2023,QM,13
4,2,2023,QM,26
5,2,2023,QM,17
6,2,2023,QM,16
7,2,2023,QM,18
8,2,2023,QM,6
9,2,2023,QM,5
10,2,2023,QM,6
11,2,2023,QM,5
12,2,2023,QM,7
13,2,2023,QM,7
14,2,2023,QM,8
16,2,2023,QM,2
17,2,2023,QM,4
18,2,2023,QM,4
19,2,2023,QM,1
20,2,2023,QM,2
21,2,2023,QM,2
22,2,2023,QM,1
24,2,2023,QM,0
25,2,2023,QM,0
26,2,2023,QM,0
27,2,2023,QM,0
28,2,2023,QM,0
1,10,2022,RR,2
2,10,2022,RR,2
3,10,2022,RR,2
4,10,2022,RR,2
5,10,2022,RR,1
6,10,2022,RR,1
7,10,2022,RR,1
14,10,2022,RR,1
15,10,2022,RR,1
13,10,2022,RR,1
17,10,2022,RR,1
19,10,2022,RR,1
20,10,2022,RR,1
27,10,2022,RR,3
28,10,2022,RR,1
29,10,2022,RR,2
30,10,2022,RR,1
31,10,2022,RR,1
2,11,2022,RR,1
3,11,2022,RR,3
4,11,2022,RR,4
5,11,2022,RR,3
6,11,2022,RR,3
7,11,2022,RR,3
8,11,2022,RR,3
9,11,2022,RR,2
10,11,2022,RR,2
11,11,2022,RR,1
17,11,2022,RR,3
18,11,2022,RR,3
19,11,2022,RR,3
20,11,2022,RR,1
21,11,2022,RR,2
22,11,2022,RR,2
23,11,2022,RR,6
24,11,2022,RR,5
25,11,2022,RR,7
26,11,2022,RR,2
30,11,2022,RR,8
1,12,2022,RR,8
2,12,2022,RR,20
3,12,2022,RR,7
7,12,2022,RR,11
8,12,2022,RR,11
9,12,2022,RR,15
10,12,2022,RR,15
11,12,2022,RR,19
12,12,2022,RR,13
13,12,2022,RR,18
14,12,2022,RR,13
15,12,2022,RR,21
22,12,2022,RR,5
23,12,2022,RR,19
24,12,2022,RR,15
25,12,2022,RR,7
26,12,2022,RR,14
27,12,2022,RR,20
2,1,2023,RR,7
3,1,2023,RR,16
4,1,2023,RR,14
5,1,2023,RR,15
6,1,2023,RR,31
7,1,2023,RR,1
8,1,2023,RR,3
12,1,2023,RR,3
13,1,2023,RR,1
14,1,2023,RR,3
15,1,2023,RR,3
16,1,2023,RR,3
3,2,2023,RR,16
4,2,2023,RR,36
5,2,2023,RR,15
7,2,2023,RR,7
8,2,2023,RR,9
9,2,2023,RR,19
10,2,2023,RR,18
14,2,2023,RR,6
15,2,2023,RR,10
16,2,2023,RR,20
17,2,2023,RR,10
18,2,2023,RR,21
19,2,2023,RR,6
20,2,2023,RR,11
21,2,2023,RR,0
9,3,2023,RR,16
10,3,2023,RR,11
11,3,2023,RR,8
24,3,2023,RR,11
25,3,2023,RR,22
26,3,2023,RR,14
27,3,2023,RR,11
28,3,2023,RR,21
29,3,2023,RR,13
30,3,2023,RR,15
31,3,2023,RR,13
1,4,2023,RR,8
2,4,2023,RR,10
3,4,2023,RR,36
4,4,2023,RR,16
5,4,2023,RR,6
6,4,2023,RR,12
7,4,2023,RR,22
8,4,2023,RR,7
13,4,2023,RR,2
24,4,2023,RR,10
25,4,2023,RR,7
26,4,2023,RR,4
27,4,2023,RR,13
28,4,2023,RR,14
29,4,2023,RR,13
30,4,2023,RR,35
1,5,2023,RR,18
2,5,2023,RR,0
3,5,2023,RR,10
4,5,2023,RR,13
5,5,2023,RR,22
7,5,2023,RR,25
8,5,2023,RR,7
11,5,2023,RR,4
12,5,2023,RR,12
13,5,2023,RR,15
14,5,2023,RR,12
15,5,2023,RR,0
16,5,2023,RR,0
17,5,2023,RR,0
18,5,2023,RR,0
27,5,2023,RR,0
