day,month,year,reef,sharks
8,10,2022,QM,2
9,10,2022,QM,3
11,10,2022,QM,0
12,10,2022,QM,0
17,10,2022,QM,1
17,10,2022,QM,0
18,10,2022,QM,0
19,10,2022,QM,0
20,10,2022,QM,0
24,10,2022,QM,0
27,10,2022,QM,0
29,10,2022,QM,0
2,11,2022,QM,0
3,11,2022,QM,0
7,11,2022,QM,0
9,11,2022,QM,0
11,11,2022,QM,0
15,11,2022,QM,0
16,11,2022,QM,0
21,11,2022,QM,0
26,11,2022,QM,1
27,11,2022,QM,0
29,11,2022,QM,0
30,11,2022,QM,0
1,12,2022,QM,0
7,12,2022,QM,0
9,12,2022,QM,0
11,12,2022,QM,0
12,12,2022,QM,0
13,12,2022,QM,0
15,12,2022,QM,0
16,12,2022,QM,0
18,12,2022,QM,0
19,12,2022,QM,0
20,12,2022,QM,0
21,12,2022,QM,0
22,12,2022,QM,0
25,12,2022,QM,0
27,12,2022,QM,30
28,12,2022,QM,31
29,12,2022,QM,35
31,12,2022,QM,13
2,1,2023,QM,17
3,1,2023,QM,19
3,1,2023,QM,25
5,1,2023,QM,23
8,1,2023,QM,0
9,1,2023,QM,7
10,1,2023,QM,21
11,1,2023,QM,23
12,1,2023,QM,30
13,1,2023,QM,43
14,1,2023,QM,35
15,1,2023,QM,55
16,1,2023,QM,45
17,1,2023,QM,43
18,1,2023,QM,43
19,1,2023,QM,38
20,1,2023,QM,34
21,1,2023,QM,13
22,1,2023,QM,14
23,1,2023,QM,14
24,1,2023,QM,30
25,1,2023,QM,0
27,1,2023,QM,35
28,1,2023,QM,0
30,1,2023,QM,0
2,2,2023,QM,23
3,2,2023,QM,23
4,2,2023,QM,20
5,2,2023,QM,22
6,2,2023,QM,16
7,2,2023,QM,17
8,2,2023,QM,9
9,2,2023,QM,6
13,2,2023,QM,8
14,2,2023,QM,11
15,2,2023,QM,6
16,2,2023,QM,6
17,2,2023,QM,6
18,2,2023,QM,5
19,2,2023,QM,2
20,2,2023,QM,2
22,2,2023,QM,0
24,2,2023,QM,0
27,2,2023,QM,0
28,2,2023,QM,0
1,3,2023,QM,0
3,3,2023,QM,0
4,3,2023,QM,0
8,3,2023,QM,0
9,3,2023,QM,0
10,3,2023,QM,0
13,3,2023,QM,0
14,3,2023,QM,0
15,3,2023,QM,0
21,3,2023,QM,0
22,3,2023,QM,0
23,3,2023,QM,0
31,3,2023,QM,0
5,4,2023,QM,0
7,4,2023,QM,0
8,4,2023,QM,0
12,10,2022,RR,0
24,10,2022,RR,0
2,11,2022,RR,4
17,11,2022,RR,3
30,11,2022,RR,10
7,12,2022,RR,30
16,12,2022,RR,50
22,12,2022,RR,7
2,1,2023,RR,5
12,1,2023,RR,60
23,1,2023,RR,114
3,2,2023,RR,91
14,2,2023,RR,22
9,3,2023,RR,14
24,3,2023,RR,12
1,4,2023,RR,10
